Kode,Nama,Air,Energi,Protein,Lemak,Karbohidrat,Serat,Abu,Kalsium,Fosfor,Besi,Natrium,Kalium,Tembaga,Seng,Retinol,?-karoten,Karoten,Thiamin,Riboflavin,Niasin,Vitamin C,BDD,Olahan,Makanan,TKPI 2019
KR009,Minyak kacang tanah,0.0,902.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Tunggal,Lemak,DABM-1964
KR010,Minyak kedelai,0.1,883.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Tunggal,Lemak,FCTEA-1972
KR011,Minyak kelapa,0.0,870.0,1.0,98.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Tunggal,Lemak,DABM-1964
KR012,Minyak kelapa sawit,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181,0.0,0.0,0.0,0.0,0.0,100.0,Tunggal,Lemak,DABM-1964
KR013,Minyak wijen,0.1,881.0,0.2,99.7,0.0,0.0,0.0,10.0,5.0,0.1,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.1,0.0,100.0,Tunggal,Lemak,FCTEA-1972
KR014,Minyak Zaitun,0.0,884.0,0.0,100.0,0.0,0.0,0.0,14.0,0.0,1.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,100.0,Tunggal,Lemak,DABM-1964
MP001,"Coklat manis, batang",1.4,527.0,2.0,29.8,62.7,6.5,4.1,63.0,287.0,2.8,6.0,499.5,0.0,0.0,0.0,0.0,30.0,0.03,0.02,0.0,0.0,100.0,Olahan,Gula,DABM-1964
MP002,"Coklat pahit,batang",2.3,615.0,5.5,42.6,29.2,10.8,10.1,98.0,446.0,4.4,20.0,708.3,1.7,3.3,0.0,2.0,60.0,0.05,0.08,1.0,0.0,100.0,Olahan,Gula,DABM-1964
MP003,"Coklat susu, batang",1.0,565.0,9.0,35.0,53.6,3.4,1.4,200.0,200.0,2.0,100.0,405.5,0.49,2.3,0.0,54.0,30.0,0.08,0.45,0.5,0.0,100.0,Olahan,Gula,DABM-1964
MP004,Coklat bubuk,3.9,311.0,8.0,4.0,48.9,32.6,15.4,125.0,715.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.12,0.0,0.6,0.0,0.0,Olahan,Gula,DABM-1964
MP005,Gula aren,7.0,368.0,0.0,0.0,92.0,0.0,1.0,75.0,35.0,3.0,15.0,390.4,0.04,26.4,0.0,0.0,0.0,0.0,0.01,0.5,0.0,100.0,Olahan,Gula,DABM-1964
MP006,Gula kelapa,10.0,386.0,3.0,10.0,76.0,0.0,1.0,76.0,37.0,2.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.5,0.0,100.0,Olahan,Gula,DABM-1964
MP007,Gula putih,5.4,394.0,0.0,0.0,94.0,0.0,0.6,5.0,1.0,0.1,1.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Olahan,Gula,DABM-1964
MP008,"Jam, selai",34.0,239.0,0.5,0.6,64.5,1.0,0.4,20.0,20.0,1.0,30.0,73.1,0.09,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.0,100.0,Olahan,Gula,DABM-1964
MP009,Kopi bubuk instant,2.6,129.0,12.3,0.5,35.0,0.0,9.7,179.0,383.0,5.6,72.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.21,30.6,0.0,100.0,Olahan,Gula,FCTEA-1972
MP010,Madu,20.0,294.0,0.3,0.0,79.5,0.2,0.2,5.0,16.0,0.9,6.0,26.9,0.04,0.2,0.0,0.0,0.0,0.0,0.04,0.1,4.0,100.0,Olahan,Gula,DABM-1964
MP011,Markisa squash,46.7,217.0,2.5,1.0,49.6,0.0,0.2,6.0,83.0,0.6,14.0,65.0,0.0,0.1,0.0,23.0,75.0,0.07,0.02,0.0,14.0,0.0,Olahan,Gula,KZGMI-2001
MP012,"Markisa squash, BD",74.4,104.0,1.2,0.5,23.7,0.0,0.2,1.0,88.0,0.5,40.0,40.0,0.0,0.1,0.0,7.0,40.0,0.2,0.02,0.0,12.0,0.0,Olahan,Gula,KZGMI-2001
MP013,Melase,21.2,276.0,0.0,0.1,71.0,0.0,7.7,6.0,83.0,0.6,14.0,0.0,0.0,0.3,0.0,0.0,0.0,0.04,0.0,0.0,0.0,100.0,Olahan,Gula,DABM-1964
MP014,Sirup,44.0,213.0,0.0,0.0,55.0,0.0,1.0,0.0,0.0,0.0,3.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Olahan,Gula,DABM-1964
MP015,Sirup pirous,43.3,228.0,0.2,0.4,55.9,0.0,0.2,470.0,93.0,29.5,3.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,Olahan,Gula,KZGMI-2001
MP016,Teh hijau daun kering,7.7,300.0,28.3,4.8,53.6,9.6,5.6,245.0,415.0,18.9,60.0,0.0,0.5,0.0,0.0,8.4,0.0,0.38,1.24,4.6,230.0,100.0,Olahan,Gula,FCTEA-1972
MP017,Teh hitam daun kering,8.0,293.0,24.5,2.8,58.8,8.7,5.9,327.0,313.0,24.3,50.0,0.0,0.0,0.0,0.0,2.7,0.0,0.07,0.8,7.6,9.0,100.0,Olahan,Gula,FCTEA-1972
MP018,Teh melati daun kering,8.1,299.0,24.1,3.5,59.0,9.7,5.3,320.0,185.0,31.6,70.0,0.0,0.53,0.0,0.0,8.4,0.0,0.07,0.79,7.3,85.0,100.0,Olahan,Gula,FCTEA-1972
NP001,Balichong,59.9,152.0,13.2,0.8,22.9,1.5,3.6,380.0,210.0,2.9,120.0,310.0,0.8,1.1,34.0,0.0,0.0,0.01,0.08,0.2,0.0,0.0,Olahan,Bumbu,KZGMI-2001
NP002,Bekasam,65.5,116.0,11.9,4.9,6.1,3.5,11.6,704.0,757.0,7.5,711.0,176.0,0.8,1.9,0.0,0.0,0.0,0.0,0.03,2.1,0.0,0.0,Olahan,Bumbu,KZGMI-2001
NP003,Bekasang,67.1,78.0,11.4,2.0,3.6,0.4,15.9,54.0,97.0,2.6,4.016,121.0,0.2,4.8,0.0,0.0,0.0,0.15,0.12,0.6,0.0,0.0,Olahan,Bumbu,KZGMI-2001
NP004,Cuka,94.5,21.0,0.1,0.1,5.0,0.0,0.3,7.0,10.0,0.5,21.0,37.8,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.7,0.0,100.0,Olahan,Bumbu,DABM-1964
NP005,Kecap,63.0,71.0,5.7,1.3,9.0,0.0,21.0,123.0,96.0,5.7,1.114,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Olahan,Bumbu,DABM-1964
NP006,Petis ikan,56.0,165.0,20.0,0.2,20.8,0.0,3.0,37.0,36.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,0.8,0.0,100.0,Olahan,Bumbu,DABM-1964
NP007,Petis udang kering,8.3,345.0,23.8,1.4,59.3,0.0,7.1,221.0,397.0,3.8,11.998,462.8,0.75,1.9,0.0,0.0,232.0,1.02,0.4,2.2,0.0,100.0,Olahan,Bumbu,KZGPI-1990
NP008,Petis udang pasta,39.0,220.0,15.0,0.9,38.0,2.3,7.1,37.0,36.0,2.8,7.981,307.9,0.5,1.3,0.0,0.0,0.0,0.01,0.13,1.7,0.0,100.0,Olahan,Bumbu,DABM-1964
NP009,Saos tomat,69.5,110.0,2.0,0.4,24.5,0.9,3.6,12.0,18.0,0.8,890.0,129.7,0.18,0.3,0.0,357.0,570.0,0.09,0.06,1.7,11.0,100.0,Olahan,Bumbu,DABM-1964
NP010,Tempoya,70.1,110.0,1.7,1.3,21.9,2.6,5.0,190.0,45.0,2.9,597.0,486.3,0.0,0.0,0.0,71.0,0.0,0.3,0.04,1.1,0.0,100.0,Olahan,Bumbu,KZGMI-2001
NP011,Terasi,33.8,155.0,22.3,2.9,9.9,2.7,31.1,3.812,726.0,78.5,1.664,821.4,0.99,2.4,0.0,0.0,0.0,0.24,0.0,3.3,0.0,100.0,Olahan,Bumbu,KZGPI-1990
NP012,Terasi dobo,58.4,191.0,33.1,3.6,6.6,1.6,11.5,2.25,1.13,22.9,650.0,0.0,2.9,5.0,0.0,0.0,0.0,3.74,0.22,2.1,0.0,100.0,Olahan,Bumbu,KZGMI-2001
NP013,Terasi merah,40.0,174.0,30.0,3.5,5.6,2.2,20.4,100.0,150.0,3.1,7.85,302.8,0.49,1.2,0.0,0.0,0.0,0.0,0.12,1.7,0.0,100.0,Olahan,Bumbu,DABM-1964
NR001,"Asam arang coklat, segar",66.1,130.0,0.5,1.1,30.9,1.5,1.4,79.0,113.0,4.3,13.0,0.0,0.0,0.0,0.0,745.0,0.0,0.01,0.2,0.0,0.0,0.0,Tunggal,Bumbu,KZGPI-1990
NR002,"Asam arang merah, segar",75.9,99.0,0.8,1.6,20.3,2.8,1.4,69.0,300.0,4.6,2.0,95.7,0.0,0.1,0.0,529.0,0.0,0.01,0.34,1.6,0.0,0.0,Tunggal,Bumbu,KZGPI-1990
NR003,"Asam kandis, kering",32.2,261.0,0.9,1.6,63.3,5.0,2.0,192.0,657.0,4.4,26.0,341.4,0.4,0.3,0.0,0.2,0.0,0.0,0.0,0.4,0.0,100.0,Tunggal,Bumbu,KZGPI-1990
